datetime,bank,basic_materials,chemicals,corporate_government,electricity,beverage,investment,technology2,insurance,investment_trust,leasing_factoring,machinery,all,technology,products,real_estate,sports,telecommunication,textile_leather,tourism,transportation,wholesale_retails,wood_paper_print
2008-01-31,901.26,429.22,255.76,461.5,26.37,440.63,330.15,49.15,862.18,133.85,109.12,310.04,415.96,78.1,461.21,281.25,474.54,254.13,55.9,61.58,115.96,343.14,299.78
2008-02-29,881.69,503.25,280.75,475.96,29.78,495.14,344.07,53.56,1095.39,127.33,99.04,323.75,435.67,83.54,475.32,273.71,527.56,301.47,59.28,69.45,119.03,367.65,290.84
2008-03-31,751.63,521.49,263.33,393.31,25.3,434.49,283.01,48.51,921.9,110.96,86.56,270.04,385.23,76.51,451.68,229.54,569.55,276.56,51.32,62.56,103.08,354.16,235.53
2008-04-30,852.41,624.59,299.08,463.16,30.58,451.87,329.95,52.93,1103.11,133.27,105.71,314.5,426.81,85.75,459.15,244.42,581.03,254.13,55.21,69.2,115.81,379.26,260.49
2008-05-31,734.3,587.45,277.46,397.59,32.43,454.74,314.24,46.84,1099.44,116.82,93.89,298.47,394.94,78.79,424.07,229.13,569.33,240.43,52.52,63.33,110.09,391.06,246.24
2008-06-30,594.84,712.16,245.18,349.51,31.45,403.03,283.45,39.08,944.21,107.17,87.25,249.65,346.48,67.45,359.7,214.67,654.54,186.92,44.93,48.94,89.52,385.76,209.3
2008-07-31,826.55,700.43,269.57,412.86,31.31,465.21,344.23,40.75,1079.74,115.41,98.26,272.17,413.18,67.86,384.23,228.18,730.13,223.79,45.75,50.73,100.54,383.61,245.18
2008-08-31,787.33,598.2,260.28,381.05,30.6,455.65,325.66,42.23,1084.25,117.46,105.16,267.74,393.56,69.95,395.1,226.49,749.27,205.94,49.8,52.18,107.26,402.53,236.25
2008-09-30,733.57,482.53,219.58,329.62,27.13,431.06,292.33,34.91,936.21,108.94,82.22,204.79,355.02,57.08,339.84,177.83,805.33,206.22,43.16,41.55,101.39,372.47,225.08
2008-10-31,576.09,350.12,163.78,269.48,19.97,391.73,205.11,31.76,605.13,85.85,50.93,135.83,275.16,48.42,260.75,121.41,538.97,186.17,32.63,32.78,68.11,259.45,169.12
2008-11-30,520.6,279.86,141.39,231.19,17.03,372.42,178.99,32.4,497.45,81.32,53.53,112.94,254.77,47.95,248.91,114.37,509.81,210.82,31.75,31.47,75.55,258.64,159.29
2008-12-31,559.9,308.29,147.08,219.74,16.05,328.58,183.93,31.32,547.49,86.56,55.73,119.91,265.31,48.59,263.44,118.65,492.42,210.03,33.36,33.4,80.73,266.96,158.82
2009-01-31,517.9,278.2,145.06,211.19,15.89,352.67,169.76,24.97,559.64,85.67,59.27,113.3,256.97,42.08,247.45,119.86,495.81,222.41,32.39,31.16,85.03,288.82,149.58
2009-02-28,458.26,271.06,145.37,200.27,16.49,342.23,149.04,26.36,503.01,87.34,58.02,113.5,240.23,42.61,260.79,125.03,478.71,210.1,35.46,33.18,79.8,278.55,136.42
2009-03-31,523.43,255.58,155.55,207.61,16.43,348.55,165.14,29.33,547.06,100.22,64.78,126.12,259.32,46.59,290.67,137.5,496.84,203.97,37.81,45.51,92.03,294.62,183.92
2009-04-30,692.08,318.03,167.95,242.03,22.2,385.67,213.26,34.14,659.59,106.25,92.42,160.04,314.49,56.75,335.24,174.62,539.61,212.18,41.21,49.71,111.43,364.41,156.35
2009-05-31,765.39,371.92,192.18,277.36,25.9,420.67,252.3,42.81,742.61,114.93,96.54,191.41,347.24,67.02,348.74,195.0,654.84,209.63,48.12,54.16,126.06,403.01,192.64
2009-06-30,799.63,369.63,205.23,289.85,27.59,463.05,259.69,44.95,816.92,120.26,100.58,234.39,368.62,70.54,368.83,194.3,598.13,224.37,53.97,57.2,164.0,446.04,212.5
2009-07-31,982.36,395.07,213.34,336.92,28.39,514.03,311.7,49.36,884.01,125.71,115.61,263.69,422.73,76.99,390.35,212.75,605.82,234.7,59.01,57.55,165.17,488.28,217.35
2009-08-31,1054.17,471.2,240.9,375.54,33.35,549.49,344.48,60.16,965.28,159.02,121.45,309.81,460.79,93.44,424.36,257.82,673.4,243.5,60.58,57.44,204.16,487.07,238.08
2009-09-30,1070.64,500.11,260.9,383.52,41.15,546.25,331.23,67.93,1025.05,166.83,130.02,313.3,474.53,104.56,466.82,277.21,668.34,257.73,64.84,59.54,266.18,505.98,230.01
2009-10-31,1052.22,456.43,255.16,394.23,39.64,574.11,324.17,70.37,977.43,165.45,127.06,316.35,466.01,106.44,456.15,270.9,632.61,248.16,64.16,70.74,287.32,467.05,250.16
2009-11-30,998.12,436.84,247.45,376.84,35.96,544.38,311.62,68.07,924.35,163.92,105.85,301.9,447.07,114.17,440.58,251.37,591.59,232.69,66.48,69.16,325.36,496.03,259.34
2009-12-31,1195.36,491.86,285.38,426.7,41.13,593.43,350.44,79.64,1110.89,182.15,123.84,338.6,518.31,143.35,489.54,282.4,608.9,259.08,73.23,74.22,383.72,569.98,301.9
2010-01-31,1183.29,521.13,318.58,454.12,49.52,566.92,395.18,85.42,1286.07,197.71,154.44,372.94,540.04,155.91,563.43,311.42,672.88,275.16,89.4,88.52,374.71,582.22,325.37
2010-02-28,1076.28,460.97,292.19,421.66,44.95,585.72,359.53,80.61,1122.39,187.69,163.44,365.05,495.67,142.52,590.03,286.84,666.38,233.96,95.9,84.78,334.12,565.59,272.38
2010-03-31,1284.66,508.79,328.75,468.61,46.92,595.83,400.08,88.22,1211.75,204.61,175.57,419.36,561.1,158.51,606.63,342.98,649.9,241.19,101.3,93.68,355.9,655.81,292.64
2010-04-30,1324.88,536.73,336.6,500.88,48.38,675.41,423.74,90.67,1235.76,204.48,200.57,435.73,585.55,163.11,646.49,344.72,960.4,254.65,98.98,93.07,343.83,695.41,295.91
2010-05-31,1251.43,471.46,296.89,454.65,40.02,639.4,392.51,85.73,1055.55,183.33,177.67,385.77,537.43,153.39,547.73,295.94,637.88,225.24,93.96,85.57,304.68,678.17,263.95
2010-06-30,1271.33,460.42,303.57,464.05,38.8,708.8,386.27,82.24,1072.92,185.31,172.06,388.78,544.65,143.37,561.92,286.99,657.04,221.73,93.42,86.84,309.23,715.28,274.54
2010-07-31,1416.94,480.78,332.05,504.66,40.44,716.1,419.89,84.68,1118.43,189.53,178.43,422.24,591.59,147.03,590.04,300.43,750.88,240.93,92.44,85.73,339.72,752.65,289.37
